Timestamp,Radiowa 20B CH kW
2022-03-04T00:00:00+01:00 Warsaw,21.466858993365175
2022-03-04T01:00:00+01:00 Warsaw,21.025526056107392
2022-03-04T02:00:00+01:00 Warsaw,20.825547277375506
2022-03-04T03:00:00+01:00 Warsaw,21.00352943248219
2022-03-04T04:00:00+01:00 Warsaw,20.453195588426457
2022-03-04T05:00:00+01:00 Warsaw,20.08283315050933
2022-03-04T06:00:00+01:00 Warsaw,19.85595892581675
2022-03-04T07:00:00+01:00 Warsaw,19.914497774237365
2022-03-04T08:00:00+01:00 Warsaw,19.607591268502844
2022-03-04T09:00:00+01:00 Warsaw,18.56695616789627
2022-03-04T10:00:00+01:00 Warsaw,18.01051786624502
2022-03-04T11:00:00+01:00 Warsaw,17.52950519544107
2022-03-04T12:00:00+01:00 Warsaw,16.29826536344215
2022-03-04T13:00:00+01:00 Warsaw,14.452873810750468
2022-03-04T14:00:00+01:00 Warsaw,15.14626578096948
2022-03-04T15:00:00+01:00 Warsaw,15.483658240106372
2022-03-04T16:00:00+01:00 Warsaw,16.14895647952954
2022-03-04T17:00:00+01:00 Warsaw,17.57502762629809
2022-03-04T18:00:00+01:00 Warsaw,18.04454895112912
2022-03-04T19:00:00+01:00 Warsaw,19.02707272526606
2022-03-04T20:00:00+01:00 Warsaw,20.133581823049504
2022-03-04T21:00:00+01:00 Warsaw,21.02757573487582
2022-03-04T22:00:00+01:00 Warsaw,20.4854642193617
2022-03-04T23:00:00+01:00 Warsaw,20.594892114862247
2022-03-05T00:00:00+01:00 Warsaw,20.832328389661686
2022-03-05T01:00:00+01:00 Warsaw,20.93619866125286
2022-03-05T02:00:00+01:00 Warsaw,21.282190758160972
2022-03-05T03:00:00+01:00 Warsaw,21.468556259915545
2022-03-05T04:00:00+01:00 Warsaw,21.634731448961073
2022-03-05T05:00:00+01:00 Warsaw,21.6375464262175
2022-03-05T06:00:00+01:00 Warsaw,21.67977528957444
2022-03-05T07:00:00+01:00 Warsaw,21.14257387312336
2022-03-05T08:00:00+01:00 Warsaw,19.796255557290383
2022-03-05T09:00:00+01:00 Warsaw,17.941128783591733
2022-03-05T10:00:00+01:00 Warsaw,16.725893102884296
2022-03-05T11:00:00+01:00 Warsaw,17.434974043292026
2022-03-05T12:00:00+01:00 Warsaw,17.246054538795452
2022-03-05T13:00:00+01:00 Warsaw,15.971835375974416
2022-03-05T14:00:00+01:00 Warsaw,16.030230930920002
2022-03-05T15:00:00+01:00 Warsaw,16.412448663777774
2022-03-05T16:00:00+01:00 Warsaw,18.174105963171943
2022-03-05T17:00:00+01:00 Warsaw,19.751477779777385
2022-03-05T18:00:00+01:00 Warsaw,21.53087583271024
2022-03-05T19:00:00+01:00 Warsaw,21.733640926700772
2022-03-05T20:00:00+01:00 Warsaw,21.340989518063452
2022-03-05T21:00:00+01:00 Warsaw,21.002064711220424
2022-03-05T22:00:00+01:00 Warsaw,21.447485364931463
2022-03-05T23:00:00+01:00 Warsaw,21.5998049106849
2022-03-06T00:00:00+01:00 Warsaw,21.880909814686273
2022-03-06T01:00:00+01:00 Warsaw,21.196658523888498
2022-03-06T02:00:00+01:00 Warsaw,21.935406426635055
2022-03-06T03:00:00+01:00 Warsaw,21.925733793584836
2022-03-06T04:00:00+01:00 Warsaw,22.0267188502517
2022-03-06T05:00:00+01:00 Warsaw,22.21755433873446
2022-03-06T06:00:00+01:00 Warsaw,22.389365313605026
2022-03-06T07:00:00+01:00 Warsaw,21.237502960963926
2022-03-06T08:00:00+01:00 Warsaw,19.130558959140664
2022-03-06T09:00:00+01:00 Warsaw,18.05506083121612
