Timestamp,Radiowa 20B CustomWeather Temp_Zewnetrzna
2022-01-04T01:00:00+01:00 Warsaw,6.066296074125502
2022-01-04T02:00:00+01:00 Warsaw,5.270289897918701
2022-01-04T03:00:00+01:00 Warsaw,4.9753331979115805
2022-01-04T04:00:00+01:00 Warsaw,4.851904903139387
2022-01-04T05:00:00+01:00 Warsaw,4.642183977982094
2022-01-04T06:00:00+01:00 Warsaw,4.8334235371770085
2022-01-04T07:00:00+01:00 Warsaw,4.575333340962728
2022-01-04T08:00:00+01:00 Warsaw,4.970000008742015
2022-01-04T09:00:00+01:00 Warsaw,5.846190475282215
2022-01-04T10:00:00+01:00 Warsaw,6.8080259958903
2022-01-04T11:00:00+01:00 Warsaw,7.267731964588165
2022-01-04T12:00:00+01:00 Warsaw,7.201014280319214
2022-01-04T13:00:00+01:00 Warsaw,6.79352995928596
2022-01-04T14:00:00+01:00 Warsaw,6.715185059441461
2022-01-04T15:00:00+01:00 Warsaw,6.555679303628427
2022-01-04T16:00:00+01:00 Warsaw,6.593768264936364
2022-01-04T17:00:00+01:00 Warsaw,6.734444527398972
2022-01-04T18:00:00+01:00 Warsaw,6.789999485015869
2022-01-04T19:00:00+01:00 Warsaw,6.889999826749166
2022-01-04T20:00:00+01:00 Warsaw,7.020420642126174
2022-01-04T21:00:00+01:00 Warsaw,7.088473584916857
2022-01-04T22:00:00+01:00 Warsaw,6.297091016769409
2022-01-04T23:00:00+01:00 Warsaw,5.090000002724784
2022-01-05T00:00:00+01:00 Warsaw,4.01000001637832
2022-01-05T01:00:00+01:00 Warsaw,3.4203704131974115
2022-01-05T02:00:00+01:00 Warsaw,4.093809476920536
2022-01-05T03:00:00+01:00 Warsaw,4.667142851012094
2022-01-05T04:00:00+01:00 Warsaw,5.068412621815999
2022-01-05T05:00:00+01:00 Warsaw,4.9453846124502325
2022-01-05T06:00:00+01:00 Warsaw,4.90333354473114
2022-01-05T07:00:00+01:00 Warsaw,4.929999940535602
2022-01-05T08:00:00+01:00 Warsaw,4.972962511910333
2022-01-05T09:00:00+01:00 Warsaw,5.11577779452006
2022-01-05T10:00:00+01:00 Warsaw,5.543333313681862
2022-01-05T11:00:00+01:00 Warsaw,6.068765216403538
2022-01-05T12:00:00+01:00 Warsaw,6.21666656434536
2022-01-05T13:00:00+01:00 Warsaw,5.6560214258009385
2022-01-05T14:00:00+01:00 Warsaw,5.146888844172159
2022-01-05T15:00:00+01:00 Warsaw,4.0633333424727125
2022-01-05T16:00:00+01:00 Warsaw,3.145172415108516
2022-01-05T17:00:00+01:00 Warsaw,2.745466604232788
2022-01-05T18:00:00+01:00 Warsaw,2.526190235501244
2022-01-05T19:00:00+01:00 Warsaw,2.4713335275650024
2022-01-05T20:00:00+01:00 Warsaw,2.4574069844351873
2022-01-05T21:00:00+01:00 Warsaw,2.32555529806349
2022-01-05T22:00:00+01:00 Warsaw,2.27444393436114
2022-01-05T23:00:00+01:00 Warsaw,2.095925529797872
2022-01-06T00:00:00+01:00 Warsaw,2.1117544989836845
2022-01-06T01:00:00+01:00 Warsaw,1.6510255749409015
2022-01-06T02:00:00+01:00 Warsaw,2.025757507844405
2022-01-06T03:00:00+01:00 Warsaw,2.121999752521515
2022-01-06T04:00:00+01:00 Warsaw,2.3655554983350964
2022-01-06T05:00:00+01:00 Warsaw,2.234889014561971
2022-01-06T06:00:00+01:00 Warsaw,2.200000047683716
2022-01-06T07:00:00+01:00 Warsaw,2.1648719494159403
2022-01-06T08:00:00+01:00 Warsaw,2.081999933719635
2022-01-06T09:00:00+01:00 Warsaw,1.925199999809265
2022-01-06T10:00:00+01:00 Warsaw,2.1474714032534896
2022-01-06T11:00:00+01:00 Warsaw,1.9108697746110999
2022-01-06T12:00:00+01:00 Warsaw,1.4734480997611736
2022-01-06T13:00:00+01:00 Warsaw,0.5196296284837579
2022-01-06T14:00:00+01:00 Warsaw,-0.47711115578810376
2022-01-06T15:00:00+01:00 Warsaw,-0.3429823674653706
2022-01-06T16:00:00+01:00 Warsaw,-0.5417461877777463
2022-01-06T17:00:00+01:00 Warsaw,-0.8522222936153412
2022-01-06T18:00:00+01:00 Warsaw,-1.1648595957528978
2022-01-06T19:00:00+01:00 Warsaw,-1.1968559140250796
2022-01-06T20:00:00+01:00 Warsaw,-1.2146157668187068
2022-01-06T21:00:00+01:00 Warsaw,-1.684545468200337
2022-01-06T22:00:00+01:00 Warsaw,-2.5049089897762644
2022-01-06T23:00:00+01:00 Warsaw,-3.524451571126138
2022-01-07T00:00:00+01:00 Warsaw,-3.8523998618125916
2022-01-07T01:00:00+01:00 Warsaw,-4.024206893197421
2022-01-07T02:00:00+01:00 Warsaw,-4.077111005783081
2022-01-07T03:00:00+01:00 Warsaw,-4.144665976365407
2022-01-07T04:00:00+01:00 Warsaw,-4.470000410079956
2022-01-07T05:00:00+01:00 Warsaw,-4.86771411555154
2022-01-07T06:00:00+01:00 Warsaw,-5.410521424334982
2022-01-07T07:00:00+01:00 Warsaw,-5.237999973297119
2022-01-07T08:00:00+01:00 Warsaw,-3.897840223312378
2022-01-07T09:00:00+01:00 Warsaw,-2.087702160185956
2022-01-07T10:00:00+01:00 Warsaw,-0.9476773546588037
2022-01-07T11:00:00+01:00 Warsaw,-0.03000000081560079
2022-01-07T12:00:00+01:00 Warsaw,1.0282113406716324
2022-01-07T13:00:00+01:00 Warsaw,1.4891111652056377
2022-01-07T14:00:00+01:00 Warsaw,1.5699999949027752
2022-01-07T15:00:00+01:00 Warsaw,0.6806432469339486
2022-01-07T16:00:00+01:00 Warsaw,-0.4391955152667802
2022-01-07T17:00:00+01:00 Warsaw,-0.98039990067482
2022-01-07T18:00:00+01:00 Warsaw,-1.4757142804917835
2022-01-07T19:00:00+01:00 Warsaw,-1.8620008826255798
2022-01-07T20:00:00+01:00 Warsaw,-1.9676020324230195
